label_1,type_1,subtyp_1,spec_1,dim1,dim2,cblcpty1,conntr1,status,cmpownr,label_2,type_2,subtyp_2,spec_2,dim1_2,dim2_2,cblcpty2,conntr2,featno1,label_3,type_3,subtyp3,spec_3,dim1_3,dim2_3,cblcpty3,conntr3,featno2,label_4,type_4,subtyp4,spec_4,dim1_4,dim2_4,cblcpty4,conntr4,featno3,label_5,type_5,subtyp5,spec_5,dim1_5,dim2_5,cblcpty5,conntr5,featno4,label_6,type_6,subtyp6,spec_6,dim1_6,dim2_6,cblcpty6,conntr6,featno5,label_7,type_7,subtyp7,spec_7,dim1_7,dim2_7,cblcpty7,conntr7,featno6,label_8,type_8,subtyp_8,spec_8,dim1_8,dim2_8,cblcpty8,conntr8,featno7,strtfeat,endfeat,lat,lon,sg21,sg26,address,pon_no,zone_no,subplace,mainplce,mun,stackref,datecrtd,crtdby,date_edt,editby,comments,alpha,num1,num2,num3
MAM.P.C297,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C299,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C299,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C299,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C299,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C299,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C299,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C299,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.43029777079396","-25.703114479930377",,Null,,"93","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C299
ODCFD08L Joint
MAM.DIS.DM.P.C299
MAM.STS.16.DIS.DM.P.C299-C6P13.L7
24F Mini-ADSS
MAM.DF.24F.P.C072-P.C300",C,"2","9","9"
MAM.P.C298,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C300,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"1",MAM.P.C300,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C300,Hook,Offset Bracket,1Way,(R19*W12.50mm)*1,Null,Null,Null,"1",MAM.P.C300,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C300,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C300,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C300,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.430664010220788","-25.70335666234505",,Null,,"93","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C300
ODCFD08L Joint
MAM.DIS.DM.P.C300
MAM.STS.16.DIS.DM.P.C300-C6P13.L8
24F Mini-ADSS
MAM.DF.24F.P.C072-P.C300",C,"3","0","0"
MAM.P.C299,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C301,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C301,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C301,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C301,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.C301,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.C301,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.C301,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.428330081442844","-25.700624920717992",,Null,,"94","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,C,"3","0","1"
MAM.P.C300,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C302,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C302,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C302,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C302,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C302,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C302,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C302,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.42863908024523","-25.700905639326148",,Null,,"94","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C302
ODCFD08L Joint
MAM.DIS.DM.P.C302
MAM.STS.16.DIS.DM.P.C302-C6P14.L1
24F Mini-ADSS
MAM.DF.24F.P.C073-P.C309",C,"3","0","2"
MAM.P.C301,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C304,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C304,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C304,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C304,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C304,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C304,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C304,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.428955163600232","-25.70123827942832",,Null,,"94","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C304
ODCFD08L Joint
MAM.DIS.DM.P.C304
MAM.STS.16.DIS.DM.P.C304-C6P14.L2
24F Mini-ADSS
MAM.DF.24F.P.C073-P.C309",C,"3","0","4"
MAM.P.C302,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C305,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C305,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C305,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C305,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C305,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C305,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C305,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.42928001358968","-25.701503015155787",,Null,,"94","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C305
ODCFD08L Joint
MAM.DIS.DM.P.C305
MAM.STS.16.DIS.DM.P.C305-C6P14.L3
24F Mini-ADSS
MAM.DF.24F.P.C073-P.C309",C,"3","0","5"
MAM.P.C303,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C306,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C306,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C306,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C306,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C306,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C306,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C306,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.429807083499913","-25.702087189010328",,Null,,"94","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C306
ODCFD08L Joint
MAM.DIS.DM.P.C306
MAM.STS.16.DIS.DM.P.C306-C6P14.L4
24F Mini-ADSS
MAM.DF.24F.P.C073-P.C309",C,"3","0","6"
MAM.P.C304,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C307,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C307,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C307,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C307,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C307,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C307,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C307,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.43021498154375","-25.702394241412332",,Null,,"94","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C307
ODCFD08L Joint
MAM.DIS.DM.P.C307
MAM.STS.16.DIS.DM.P.C307-C6P14.L5
24F Mini-ADSS
MAM.DF.24F.P.C073-P.C309",C,"3","0","7"
MAM.P.C305,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C308,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C308,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C308,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C308,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C308,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C308,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C308,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.430681580782085","-25.702738170205752",,Null,,"94","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C308
ODCFD08L Joint
MAM.DIS.DM.P.C308
MAM.STS.16.DIS.DM.P.C308-C6P14.L6
24F Mini-ADSS
MAM.DF.24F.P.C073-P.C309",C,"3","0","8"
MAM.P.C306,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C309,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"1",MAM.P.C309,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C309,Hook,Offset Bracket,1Way,(R19*W12.50mm)*1,Null,Null,Null,"1",MAM.P.C309,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C309,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C309,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C309,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.431083458190585","-25.703081346419758",,Null,,"94","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C309
ODCFD08L Joint
MAM.DIS.DM.P.C309
MAM.STS.16.DIS.DM.P.C309-C6P14.L7
24F Mini-ADSS
MAM.DF.24F.P.C073-P.C309",C,"3","0","9"
MAM.P.C307,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C310,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C310,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C310,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C310,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.C310,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.C310,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.C310,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.428576384847194","-25.700600804295764",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,C,"3","1","0"
MAM.P.C308,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C311,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C311,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C311,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C311,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C311,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C311,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C311,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.428747293859953","-25.700438605882262",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C311
ODCFD08L Joint
MAM.DIS.DM.P.C311
MAM.STS.16.DIS.DM.P.C311-C6P15.L1
24F Mini-ADSS
MAM.DF.24F.P.C075-P.C322",C,"3","1","1"
MAM.P.C309,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C312,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C312,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C312,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C312,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.C312,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.C312,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.C312,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.428907897469077","-25.700705267064574",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,C,"3","1","2"
MAM.P.C310,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C313,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C313,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C313,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C313,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C313,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C313,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C313,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.428980494023257","-25.700799820140727",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C313
ODCFD08L Joint
MAM.DIS.DM.P.C313
MAM.STS.16.DIS.DM.P.C313-C6P15.L2
24F Mini-ADSS
MAM.DF.24F.P.C075-P.C322",C,"3","1","3"
MAM.P.C311,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C313,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C313,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C313,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C313,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.C313,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.C313,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.C313,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.430036149663604","-25.70197700371729",,Null,,"96","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,C,"3","1","3"
MAM.P.C312,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C314,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C314,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C314,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C314,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C314,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C314,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C314,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.42941235058815","-25.701117428937142",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C314
ODCFD08L Joint
MAM.DIS.DM.P.C314
MAM.STS.16.DIS.DM.P.C314-C6P15.L3
24F Mini-ADSS
MAM.DF.24F.P.C075-P.C322",C,"3","1","4"
MAM.P.C313,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C315,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C315,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C315,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C315,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C315,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C315,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C315,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.42948517285506","-25.70083013565323",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C315
ODCFD08L Joint
MAM.DIS.DM.P.C315
MAM.STS.16.DIS.DM.P.C315-C6P15.L4
24F Mini-ADSS
MAM.DF.24F.P.C075-P.C322",C,"3","1","5"
MAM.P.C314,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C316,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C316,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C316,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C316,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C316,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C316,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C316,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.429919970412413","-25.700828123646218",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C316
ODCFD08L Joint
MAM.DIS.DM.P.C316
MAM.STS.16.DIS.DM.P.C316-C6P15.L5
24F Mini-ADSS
MAM.DF.24F.P.C075-P.C322",C,"3","1","6"
MAM.P.C315,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C317,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C317,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C317,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C317,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.C317,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.C317,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.C317,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.430234431610305","-25.70060471128822",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,C,"3","1","7"
MAM.P.C316,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C318,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C318,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C318,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C318,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.C318,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.C318,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.C318,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.430363766532917","-25.700729735046746",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,C,"3","1","8"
MAM.P.C317,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C319,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C319,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C319,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C319,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C319,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C319,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C319,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.430484565895455","-25.700844567183385",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C319
ODCFD08L Joint
MAM.DIS.DM.P.C319
MAM.STS.16.DIS.DM.P.C319-C6P15.L6
24F Mini-ADSS
MAM.DF.24F.P.C075-P.C322",C,"3","1","9"
MAM.P.C318,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C320,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C320,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C320,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C320,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C320,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C320,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C320,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.429928560088793","-25.701278708703654",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C320
ODCFD08L Joint
MAM.DIS.DM.P.C320
MAM.STS.16.DIS.DM.P.C320-C6P15.L7
24F Mini-ADSS
MAM.DF.24F.P.C075-P.C322",C,"3","2","0"
MAM.P.C319,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C320,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C320,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C320,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C320,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.C320,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.C320,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.C320,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.43018112586269","-25.701081274551708",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,C,"3","2","0"
MAM.P.C320,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.C322,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"1",MAM.P.C322,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C322,Hook,Offset Bracket,1Way,(R19*W12.50mm)*1,Null,Null,Null,"1",MAM.P.C322,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C322,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C322,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C322,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.429658935355153","-25.70146607504398",,Null,,"95","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C322
ODCFD08L Joint
MAM.DIS.DM.P.C322
MAM.STS.16.DIS.DM.P.C322-C6P15.L8
24F Mini-ADSS
MAM.DF.24F.P.C075-P.C322",C,"3","2","2"
MAM.P.C321,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.C323,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.C323,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.C323,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.C323,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.C323,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.C323,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.C323,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.430082413750366","-25.701542240222974",,Null,,"96","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.C323
ODCFD08L Joint
MAM.DIS.DM.P.C323
MAM.STS.16.DIS.DM.P.C323-C6P16.L1
24F Mini-ADSS
MAM.DF.24F.P.C079-P.C339",C,"3","2","3"
