label_1,type_1,subtyp_1,spec_1,dim1,dim2,cblcpty1,conntr1,status,cmpownr,label_2,type_2,subtyp_2,spec_2,dim1_2,dim2_2,cblcpty2,conntr2,featno1,label_3,type_3,subtyp3,spec_3,dim1_3,dim2_3,cblcpty3,conntr3,featno2,label_4,type_4,subtyp4,spec_4,dim1_4,dim2_4,cblcpty4,conntr4,featno3,label_5,type_5,subtyp5,spec_5,dim1_5,dim2_5,cblcpty5,conntr5,featno4,label_6,type_6,subtyp6,spec_6,dim1_6,dim2_6,cblcpty6,conntr6,featno5,label_7,type_7,subtyp7,spec_7,dim1_7,dim2_7,cblcpty7,conntr7,featno6,label_8,type_8,subtyp_8,spec_8,dim1_8,dim2_8,cblcpty8,conntr8,featno7,strtfeat,endfeat,lat,lon,sg21,sg26,address,pon_no,zone_no,subplace,mainplce,mun,stackref,datecrtd,crtdby,date_edt,editby,comments,alpha,num1,num2,num3
MAM.P.B976,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.B976,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B976,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B976,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B976,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B976,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B976,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B976,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.42794242190584","-25.702469347406357",,Null,,"112","9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","7","6"
MAM.P.B977,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B977,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"3",MAM.P.B977,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B977,Hook,Offset Bracket,3Way,(R19*W12.50mm)*3,Null,Null,Null,"1",MAM.P.B977,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.B977,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B977,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B977,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.42832276265378","-25.702814439933796",,Null,,"112","9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.B977
CMJ Joint
MAM.AGG.DM.P.B977
MAM.FTS.8.DIS.DM.P.B977-OLT.01.C7P15
24F Mini-ADSS
MAM.DF.24F.P.B977-P.C393",B,"9","7","7"
MAM.P.B978,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B978,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"3",MAM.P.B978,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B978,Hook,Offset Bracket,3Way,(R19*W12.50mm)*3,Null,Null,Null,"1",MAM.P.B978,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.B978,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B978,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B978,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.428749368574614","-25.70321669243736",,Null,,"113","9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.B978
CMJ Joint
MAM.AGG.DM.P.B978
MAM.FTS.8.DIS.DM.P.B978-OLT.01.C7P16
24F Mini-ADSS
MAM.DF.24F.P.B978-P.C402",B,"9","7","8"
MAM.P.B979,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B979,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B979,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B979,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B979,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B979,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B979,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B979,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.429161752567616","-25.703632271922004",,Null,,,"9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","7","9"
MAM.P.B980,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B980,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"3",MAM.P.B980,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B980,Hook,Offset Bracket,3Way,(R19*W12.50mm)*3,Null,Null,Null,"1",MAM.P.B980,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.B980,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B980,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B980,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.42947255022566","-25.703857758084233",,Null,,"114","9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.B980
CMJ Joint
MAM.AGG.DM.P.B980
MAM.FTS.8.DIS.DM.P.B980-OLT.01.C8P1
24F Mini-ADSS
MAM.DF.24F.P.B980-P.C410",B,"9","8","0"
MAM.P.B981,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.B981,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B981,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B981,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B981,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B981,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B981,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B981,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.42997996048788","-25.7042312937264",,Null,,,"9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","8","1"
MAM.P.B982,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.B982,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B982,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B982,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B982,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B982,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B982,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B982,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.43048771804924","-25.704605085036643",,Null,,,"9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","8","2"
MAM.P.B983,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.B983,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B983,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B983,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B983,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B983,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B983,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B983,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.430987013254647","-25.704972646690535",,Null,,,"9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","8","3"
MAM.P.B984,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B984,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"3",MAM.P.B984,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B984,Hook,Offset Bracket,3Way,(R19*W12.50mm)*3,Null,Null,Null,"1",MAM.P.B984,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.B984,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B984,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B984,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.431372515143142","-25.705256438143323",,Null,,,"9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","8","4"
MAM.P.B985,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B985,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"3",MAM.P.B985,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B985,Hook,Offset Bracket,3Way,(R19*W12.50mm)*3,Null,Null,Null,"1",MAM.P.B985,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.B985,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B985,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B985,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.43150207952557","-25.705352191489585",,Null,,"132","10","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.B985
CMJ Joint
MAM.AGG.DM.P.B985
MAM.FTS.8.DIS.DM.P.B985-OLT.01.C9P3
24F Mini-ADSS
MAM.DF.24F.P.B985-P.C603",B,"9","8","5"
