label_1;type_1;subtyp_1;spec_1;dim1;dim2;cblcpty1;conntr1;status;cmpownr;label_2;type_2;subtyp_2;spec_2;dim1_2;dim2_2;cblcpty2;conntr2;featno1;label_3;type_3;subtyp3;spec_3;dim1_3;dim2_3;cblcpty3;conntr3;featno2;label_4;type_4;subtyp4;spec_4;dim1_4;dim2_4;cblcpty4;conntr4;featno3;label_5;type_5;subtyp5;spec_5;dim1_5;dim2_5;cblcpty5;conntr5;featno4;label_6;type_6;subtyp6;spec_6;dim1_6;dim2_6;cblcpty6;conntr6;featno5;label_7;type_7;subtyp7;spec_7;dim1_7;dim2_7;cblcpty7;conntr7;featno6;label_8;type_8;subtyp_8;spec_8;dim1_8;dim2_8;cblcpty8;conntr8;featno7;strtfeat;endfeat;lat;lon;sg21;sg26;address;pon_no;zone_no;subplace;mainplce;mun;stackref;datecrtd;crtdby;date_edt;editby;comments
MAM.P.A891;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A891;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A891;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A891;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A891;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A891;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A891;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A891;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4125567;-25.7104877;;Null;;31;3;799046033;799046;City of Tshwane;MAM;;;;;
MAM.P.A892;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A892;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A892;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A892;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A892;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A892;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A892;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A892;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.412051979125703;-25.71067205662547;;Null;;31;3;799046033;799046;City of Tshwane;MAM;;;;;
MAM.P.A893;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A893;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A893;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A893;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A893;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A893;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A893;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A893;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.41107526699867;-25.711035937820018;;Null;;31;3;799046033;799046;City of Tshwane;MAM;;;;;
MAM.P.A894;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A894;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A894;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A894;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A894;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A894;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A894;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A894;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4103164;-25.7113628;;Null;;31;3;799046033;799046;City of Tshwane;MAM;;;;;
MAM.P.A899;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A899;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A899;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A899;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A899;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A899;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A899;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A899;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4152324;-25.7120295;;Null;;;3;799046033;799046;City of Tshwane;MAM;;;;;
MAM.P.A900;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A900;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A900;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A900;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A900;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A900;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A900;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A900;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.415314696899728;-25.71279976937135;;Null;;34;3;799046033;799046;City of Tshwane;MAM;;;;;
MAM.P.A901;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A901;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A901;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A901;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A901;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A901;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A901;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A901;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4144551;-25.7131304;;Null;;34;3;799046033;799046;City of Tshwane;MAM;;;;;
MAM.P.A902;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A902;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A902;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A902;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A902;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A902;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A902;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A902;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4135379;-25.7135054;;Null;;34;3;799046033;799046;City of Tshwane;MAM;;;;;
MAM.P.A904;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A904;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A904;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A904;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A904;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A904;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A904;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A904;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.415653637892007;-25.713210825882257;;Null;;;3;799046032;799046;City of Tshwane;MAM;;;;;
MAM.P.A905;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A905;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A905;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A905;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A905;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A905;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A905;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A905;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.41573143115466;-25.71369914038375;;Null;;34;3;799046032;799046;City of Tshwane;MAM;;;;;
